customer_key,first_name,last_name,sales,term,usersegment,outlier_flag
3502,Ruben,Prasad,2994,Long-Term-User,Regular,False
14864,Sydney,Wright,4631,Long-Term-User,Regular,False
4,Christy,Zhu,8139,Long-Term-User,VIP,True
10769,Cole,Watson,4118,Long-Term-User,Regular,False
6,Julio,Ruiz,8121,Long-Term-User,VIP,True
12,Curtis,Lu,8133,Long-Term-User,VIP,True
16646,Colin,Anand,6051,Long-Term-User,VIP,False
16622,Edward,Brown,5971,Long-Term-User,VIP,False
16617,Emma,Brown,5998,Long-Term-User,VIP,False
16607,Courtney,Edwards,5997,Long-Term-User,VIP,False
14250,Alexandra,Watson,1868,Long-Term-User,Regular,False
16613,Lucas,Hill,3578,Short_Term-User,New,False
2582,Albert,Blanco,8375,Long-Term-User,VIP,True
3561,Kelvin,Huang,1538,Long-Term-User,Regular,False
26,Alejandro,Beck,6577,Long-Term-User,VIP,True
239,Mayra,Prasad,7543,Long-Term-User,VIP,True
14862,Garrett,Cooper,3400,Short_Term-User,New,False
5630,Rosa,Zheng,5933,Long-Term-User,VIP,False
16578,Patrick,Cook,3578,Short_Term-User,New,False
2564,Phillip,Sai,5948,Long-Term-User,VIP,False
5528,Cory,Arun,4752,Long-Term-User,Regular,False
8,Marco,Mehta,8211,Long-Term-User,VIP,True
5515,Manuel,Fernandez,4761,Long-Term-User,Regular,False
5617,Kelvin,Liang,5915,Long-Term-User,VIP,False
16624,Christian,Jackson,5984,Long-Term-User,VIP,False
592,Stacey,Lu,5895,Long-Term-User,VIP,False
2266,Luke,Adams,7259,Long-Term-User,VIP,True
5483,Tabitha,Arthur,4783,Long-Term-User,Regular,False
8942,Cedric,Liang,3078,Long-Term-User,Regular,False
18,Shannon,Wang,6434,Long-Term-User,VIP,True
16618,Morgan,Phillips,5976,Long-Term-User,VIP,False
2258,Jon,Chander,8941,Long-Term-User,VIP,True
5353,Tiffany,Gao,5948,Long-Term-User,VIP,False
5494,Brenda,Fernandez,4197,Long-Term-User,Regular,False
16579,Courtney,Carter,3578,Short_Term-User,New,False
5526,Martha,Liang,4752,Long-Term-User,Regular,False
5613,Ebony,Ashe,5898,Long-Term-User,VIP,False
2,Eugene,Huang,6384,Long-Term-User,VIP,True
5519,Krystal,Holt,4698,Long-Term-User,Regular,False
28,Jessie,Zhao,6591,Long-Term-User,VIP,True
